Room Type,Guests,Price,Rating,Check-in Date,Report Date,HWV Property,Competitor
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-19,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-19,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-19,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-20,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-20,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-20,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-20,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,90,8.5,2025-02-21,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,110,8.5,2025-02-21,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,115,8.5,2025-02-21,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,120,8.5,2025-02-21,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,90,8.5,2025-02-22,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,110,8.5,2025-02-22,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,115,8.5,2025-02-22,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,120,8.5,2025-02-22,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-23,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-23,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-23,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-23,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-24,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-24,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-24,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-24,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-25,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-25,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-25,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
